iter	Passed	Remaining
743	1627	559
744	1635	559
745	1636	557
746	1637	554
747	1637	551
748	1638	549
749	1639	546
750	1641	544
751	1642	541
752	1643	538
753	1647	537
754	1648	534
755	1649	532
756	1652	530
757	1653	527
758	1656	526
759	1658	523
760	1659	521
761	1659	518
762	1660	515
763	1660	513
764	1661	510
765	1662	507
766	1664	505
767	1664	502
768	1665	500
769	1668	498
770	1671	496
771	1672	494
772	1673	491
773	1674	488
774	1675	486
775	1676	483
776	1677	481
777	1678	478
778	1679	476
779	1683	474
780	1687	473
781	1701	474
782	1701	471
783	1702	469
784	1703	466
785	1704	464
786	1705	461
787	1705	458
788	1706	456
789	1707	453
790	1707	451
791	1708	448
792	1708	446
793	1719	446
794	1719	443
795	1720	440
796	1721	438
797	1722	435
798	1731	435
799	1732	433
800	1732	430
801	1733	427
802	1733	425
803	1735	422
804	1735	420
805	1752	421
806	1754	419
807	1768	420
808	1770	418
809	1778	417
810	1779	414
811	1779	412
812	1780	409
813	1781	406
814	1781	404
815	1782	401
816	1782	399
817	1784	397
818	1785	394
819	1785	392
820	1786	389
821	1787	387
822	1790	385
823	1791	382
824	1792	380
825	1797	378
826	1821	381
827	1822	378
828	1822	376
829	1823	373
830	1824	370
831	1824	368
832	1825	365
833	1826	363
834	1826	360
835	1828	358
836	1828	356
837	1829	353
838	1843	353
839	1845	351
840	1846	349
841	1847	346
842	1853	345
843	1855	342
844	1856	340
845	1857	338
846	1858	335
847	1861	333
848	1862	331
849	1868	329
850	1872	327
851	1872	325
852	1873	322
853	1874	320
854	1875	318
855	1876	315
856	1877	313
857	1881	311
858	1883	309
859	1884	306
860	1884	304
861	1889	302
862	1889	300
863	1890	297
864	1891	295
865	1903	294
866	1904	292
867	1905	289
868	1905	287
869	1918	286
870	1919	284
871	1919	281
872	1920	279
873	1923	277
874	1924	274
875	1925	272
876	1926	270
877	1927	267
878	1927	265
879	1928	262
880	1929	260
881	1943	260
882	1944	257
883	1945	255
884	1962	254
885	1965	252
886	1966	250
887	1967	248
888	1968	245
889	1968	243
890	1969	240
891	1970	238
892	1971	236
893	1972	233
894	1974	231
895	1975	229
896	1977	227
897	1979	224
898	2009	225
899	2010	223
900	2026	222
901	2027	220
902	2028	217
903	2051	217
904	2052	215
905	2060	213
906	2061	211
907	2062	208
908	2062	206
909	2063	204
910	2064	201
911	2064	199
912	2065	196
913	2065	194
914	2066	191
915	2086	191
916	2087	188
917	2089	186
918	2089	184
919	2092	181
920	2184	187
921	2185	184
922	2186	182
923	2186	179
924	2187	177
925	2187	174
926	2188	172
927	2201	170
928	2202	168
929	2203	165
930	2203	163
931	2204	160
932	2204	158
933	2205	155
934	2205	153
935	2206	150
936	2206	148
937	2207	145
938	2207	143
939	2208	140
940	2209	138
941	2209	136
942	2210	133
943	2210	131
944	2238	130
945	2239	127
946	2240	125
947	2240	122
948	2241	120
949	2241	117
950	2242	115
951	2242	113
952	2243	110
953	2245	108
954	2246	105
955	2247	103
956	2249	101
957	2251	98
958	2253	96
959	2256	94
960	2257	91
961	2302	90
962	2314	88
963	2314	86
964	2318	84
965	2319	81
966	2320	79
967	2320	76
968	2321	74
969	2321	71
970	2322	69
971	2322	66
972	2323	64
973	2325	62
974	2326	59
975	2326	57
976	2327	54
977	2327	52
978	2350	50
979	2350	47
980	2358	45
981	2358	43
982	2359	40
983	2359	38
984	2360	35
985	2360	33
986	2361	31
987	2361	28
988	2362	26
989	2362	23
990	2363	21
991	2363	19
992	2363	16
993	2364	14
994	2365	11
995	2366	9
996	2410	7
997	2410	4
998	2411	2
999	2416	0
